rank,id,name,section,solves,attempts,url
1,3401,Stick Difference,Additional Problems II,57,233,https://cses.fi/problemset/task/3401
2,3216,Bouncing Ball Cycle,Additional Problems II,87,125,https://cses.fi/problemset/task/3216
3,3417,Border Subgrid Count I,Counting Problems,88,152,https://cses.fi/problemset/task/3417
4,3358,Split into Two Paths,Advanced Graph Problems,91,164,https://cses.fi/problemset/task/3358
5,3418,Border Subgrid Count II,Counting Problems,94,111,https://cses.fi/problemset/task/3418
6,3109,K Subset Sums II,Additional Problems II,95,123,https://cses.fi/problemset/task/3109
7,3232,Tournament Graph Distribution,Counting Problems,99,105,https://cses.fi/problemset/task/3232
8,3400,Raab Game II,Counting Problems,102,116,https://cses.fi/problemset/task/3400
9,3425,Same Sum Subsets,Additional Problems II,107,205,https://cses.fi/problemset/task/3425
10,3218,Knight Moves Queries,Additional Problems II,108,130,https://cses.fi/problemset/task/3218
11,3157,Collecting Numbers Distribution,Counting Problems,109,116,https://cses.fi/problemset/task/3157
12,3424,Distinct Sums Grid,Construction Problems,120,189,https://cses.fi/problemset/task/3424
13,2418,Grid Path Construction,Construction Problems,121,433,https://cses.fi/problemset/task/2418
14,3159,Replace with Difference,Additional Problems II,122,145,https://cses.fi/problemset/task/3159
15,3416,All Letter Subgrid Count II,Counting Problems,124,158,https://cses.fi/problemset/task/3416
16,3312,Grid Coloring II,Additional Problems II,126,167,https://cses.fi/problemset/task/3312
17,3402,Minimum Cost Pairs,Additional Problems II,132,174,https://cses.fi/problemset/task/3402
18,3301,Maximum Average Subarrays,Additional Problems I,156,172,https://cses.fi/problemset/task/3301
19,3213,Water Containers Moves,Additional Problems I,158,167,https://cses.fi/problemset/task/3213
20,3415,All Letter Subgrid Count I,Counting Problems,162,247,https://cses.fi/problemset/task/3415
21,3307,Nearest Campsites II,Additional Problems I,167,178,https://cses.fi/problemset/task/3307
22,3306,Nearest Campsites I,Additional Problems I,171,198,https://cses.fi/problemset/task/3306
23,3108,K Subset Sums I,Additional Problems II,174,227,https://cses.fi/problemset/task/3108
24,3149,Tree Coin Collecting II,Advanced Graph Problems,175,203,https://cses.fi/problemset/task/3149
25,2402,Two Stacks Sorting,Additional Problems II,177,578,https://cses.fi/problemset/task/2402
26,3361,Two Array Average,Additional Problems I,188,210,https://cses.fi/problemset/task/3361
27,3214,Water Containers Queries,Additional Problems I,197,206,https://cses.fi/problemset/task/3214
28,3302,Subsets with Fixed Average,Additional Problems I,197,213,https://cses.fi/problemset/task/3302
29,2427,Letter Pair Move Game,Additional Problems I,202,280,https://cses.fi/problemset/task/2427
30,2174,Removing Digits II,Additional Problems II,215,470,https://cses.fi/problemset/task/2174
31,3193,Square Subsets,Additional Problems I,217,241,https://cses.fi/problemset/task/3193
32,3227,Sliding Window Advertisement,Sliding Window Problems,219,350,https://cses.fi/problemset/task/3227
33,3308,Graph Coloring,Advanced Graph Problems,220,258,https://cses.fi/problemset/task/3308
34,3215,Bouncing Ball Steps,Additional Problems II,222,242,https://cses.fi/problemset/task/3215
35,2429,Grid Completion,Counting Problems,228,288,https://cses.fi/problemset/task/2429
36,3408,MST Edge Set Check,Advanced Graph Problems,232,263,https://cses.fi/problemset/task/3408
37,3404,Permutation Subsequence,Additional Problems I,234,241,https://cses.fi/problemset/task/3404
38,2423,Filling Trominos,Construction Problems,239,428,https://cses.fi/problemset/task/2423
39,3225,Inverse Suffix Array,String Algorithms,241,284,https://cses.fi/problemset/task/3225
40,2415,Functional Graph Distribution,Counting Problems,242,299,https://cses.fi/problemset/task/2415
41,2421,Counting Reorders,Counting Problems,243,351,https://cses.fi/problemset/task/2421
42,3152,Bubble Sort Rounds II,Additional Problems I,250,284,https://cses.fi/problemset/task/3152
43,3158,Bus Companies,Advanced Graph Problems,257,263,https://cses.fi/problemset/task/3158
44,3195,Xor Pyramid Row,Bitwise Operations,259,306,https://cses.fi/problemset/task/3195
45,3140,Inversion Sorting,Interactive Problems,263,293,https://cses.fi/problemset/task/3140
46,3169,Counting LCM Arrays,Additional Problems I,263,289,https://cses.fi/problemset/task/3169
47,3233,All Subarray Xors,Bitwise Operations,265,439,https://cses.fi/problemset/task/3233
48,3428,Line Segments Trace II,Geometry,270,284,https://cses.fi/problemset/task/3428
49,3414,Filled Subgrid Count II,Counting Problems,293,363,https://cses.fi/problemset/task/3414
50,2430,Binary Subsequences,Additional Problems II,294,429,https://cses.fi/problemset/task/2430
51,3194,Xor Pyramid Diagonal,Bitwise Operations,313,350,https://cses.fi/problemset/task/3194
52,1742,Robot Path,Geometry,320,594,https://cses.fi/problemset/task/1742
53,3430,Lines and Queries II,Geometry,326,337,https://cses.fi/problemset/task/3430
54,3114,Tree Coin Collecting I,Advanced Graph Problems,326,359,https://cses.fi/problemset/task/3114
55,3427,Line Segments Trace I,Geometry,329,340,https://cses.fi/problemset/task/3427
56,1685,New Flight Routes,Advanced Graph Problems,331,897,https://cses.fi/problemset/task/1685
57,2180,Coin Arrangement,Additional Problems II,334,447,https://cses.fi/problemset/task/2180
58,3360,Corner Subgrid Check,Advanced Techniques,335,518,https://cses.fi/problemset/task/3360
59,3357,Fixed Length Walk Queries,Advanced Graph Problems,348,381,https://cses.fi/problemset/task/3357
60,2075,Reversal Sorting,Additional Problems II,357,432,https://cses.fi/problemset/task/2075
61,3294,Subarray Sum Constraints,Additional Problems I,364,389,https://cses.fi/problemset/task/3294
62,3409,MST Edge Cost,Advanced Graph Problems,377,391,https://cses.fi/problemset/task/3409
63,3429,Lines and Queries I,Geometry,382,397,https://cses.fi/problemset/task/3429
64,3151,Bubble Sort Rounds I,Additional Problems I,383,435,https://cses.fi/problemset/task/3151
65,3161,GCD Subsets,Additional Problems II,392,404,https://cses.fi/problemset/task/3161
66,3422,Third Permutation,Construction Problems,398,482,https://cses.fi/problemset/task/3422
67,3423,Permutation Prime Sums,Construction Problems,398,429,https://cses.fi/problemset/task/3423
68,2176,Counting Bishops,Counting Problems,398,443,https://cses.fi/problemset/task/2176
69,2115,Bit Substrings,Additional Problems II,398,482,https://cses.fi/problemset/task/2115
70,3111,Transfer Speeds Sum,Advanced Graph Problems,403,415,https://cses.fi/problemset/task/3111
71,3305,K-th Highest Score,Interactive Problems,409,496,https://cses.fi/problemset/task/3305
72,1698,Swap Round Sorting,Additional Problems II,418,515,https://cses.fi/problemset/task/1698
73,3141,And Subset Count,Bitwise Operations,419,433,https://cses.fi/problemset/task/3141
74,1752,Creating Offices,Advanced Graph Problems,419,546,https://cses.fi/problemset/task/1752
75,1728,Inversion Probability,Mathematics,427,2375,https://cses.fi/problemset/task/1728
76,1703,Critical Cities,Advanced Graph Problems,433,668,https://cses.fi/problemset/task/1703
77,3192,K Subset Xors,Bitwise Operations,443,528,https://cses.fi/problemset/task/3192
78,1148,Maximum Building II,Additional Problems II,450,556,https://cses.fi/problemset/task/1148
79,3154,System of Linear Equations,Mathematics,456,500,https://cses.fi/problemset/task/3154
80,3273,Colored Chairs,Interactive Problems,457,481,https://cses.fi/problemset/task/3273
81,3190,Distinct Values Splits,Additional Problems I,459,486,https://cses.fi/problemset/task/3190
82,3175,Beautiful Permutation II,Additional Problems I,495,760,https://cses.fi/problemset/task/3175
83,2414,List of Sums,Additional Problems I,495,643,https://cses.fi/problemset/task/2414
84,2426,Programmers and Artists,Additional Problems II,499,697,https://cses.fi/problemset/task/2426
85,1699,Flight Route Requests,Advanced Graph Problems,503,621,https://cses.fi/problemset/task/1699
86,3228,Permuted Binary Strings,Interactive Problems,505,517,https://cses.fi/problemset/task/3228
87,2131,Grid Puzzle II,Additional Problems II,514,568,https://cses.fi/problemset/task/2131
88,1189,Food Division,Additional Problems II,522,630,https://cses.fi/problemset/task/1189
89,2432,Grid Puzzle I,Additional Problems II,539,593,https://cses.fi/problemset/task/2432
90,1113,String Transform,String Algorithms,556,674,https://cses.fi/problemset/task/1113
91,3413,Filled Subgrid Count I,Counting Problems,556,624,https://cses.fi/problemset/task/3413
92,3406,Triangle Number Sums,Mathematics,587,714,https://cses.fi/problemset/task/3406
93,2425,Stack Weights,Additional Problems I,591,704,https://cses.fi/problemset/task/2425
94,3411,All Manhattan Distances,Geometry,606,664,https://cses.fi/problemset/task/3411
95,3407,MST Edge Check,Advanced Graph Problems,613,666,https://cses.fi/problemset/task/3407
96,2130,Distinct Routes II,Advanced Techniques,614,699,https://cses.fi/problemset/task/2130
97,3410,Maximum Manhattan Distances,Geometry,617,638,https://cses.fi/problemset/task/3410
98,3150,Distinct Values Sum,Additional Problems I,634,656,https://cses.fi/problemset/task/3150
99,3138,All Palindromes,String Algorithms,644,733,https://cses.fi/problemset/task/3138
100,2228,Counting Sequences,Counting Problems,662,715,https://cses.fi/problemset/task/2228
101,3355,Sum of Four Squares,Mathematics,677,800,https://cses.fi/problemset/task/3355
102,3303,Nearest Shops,Advanced Graph Problems,684,888,https://cses.fi/problemset/task/3303
103,1203,Visiting Cities,Advanced Graph Problems,692,914,https://cses.fi/problemset/task/1203
104,1086,Writing Numbers,Additional Problems I,742,802,https://cses.fi/problemset/task/1086
105,2184,Missing Coin Sum Queries,Range Queries,746,973,https://cses.fi/problemset/task/2184
106,1747,Pyramid Array,Additional Problems I,756,917,https://cses.fi/problemset/task/1747
